KIND;OPR;STAT;AREA;CITY ;CB;LAC;CID;GSM;DCS;3G L;3G C;3G S;U-L;U900;U-S;DATE; ADDR     ; REM                                  ;   OZIN   ;   OZIE   ;LOCK
/;Минск
$;4;R  ;MI.; Минск ;;;    ;;;  13 ;700000;123      ;;;;17.12.15; Толбухина 2           ; Часовой завод, трубостойки МТС       ; 53.9256  ; 27.6151  ;G
$;4;RVM;MI.; Минск ;;;    ;;;  13 ;700000;   4     ;;;;07.02.16; Толбухина 2           ; офис МТС, зал обслуживания           ; 53.9258  ; 27.6163  ;
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700001;123      ;;;;23.12.16; Короля 5              ;общежитие Белкоопсоюз, отд.трубостойки; 53.901430; 27.543680;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700002;123      ;;;;17.12.15; Октябрьская пл. 1     ; Дворец Республики, отд.трубостойки   ; 53.9038  ; 27.5603  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700004;123567890;;;;25.12.16; Победителей пр. 21    ; Дом профсоюзов, трубостойки МТС      ; 53.911135; 27.545180;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700005;123      ;;;;17.12.15; Куйбышева 45          ; завод Горизонт, отдельные трубостойки; 53.914660; 27.5693  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700006;123      ;;;;25.12.16; Свободы пл. 17        ; трубостойки МТС                      ; 53.9046  ; 27.5534  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  72 ;700007;123      ;;;;17.12.15; Кирова 8/2            ; Министерство спорта, трубостойки МТС ; 53.8941  ; 27.5551  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700008;123      ;;;;17.12.15; Мельникайте 4         ; Белхард, трубостойки МТС             ; 53.9067  ; 27.5427  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700009;123      ;;;;04.03.18; Машерова пр. 17       ; Белгорхимпром, трубостойки МТС       ; 53.9154  ; 27.5634  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  72 ;700010;123      ;;;;17.12.15; Мясникова 41          ; Минфин, триподы МТС                  ; 53.8948  ; 27.5424  ;
$;4;R  ;MI.; Минск ;;;    ;;;  72 ;700011;123      ;;;;17.12.15; Маркса 16             ; Беллесбумпром, трубостойки МТС       ; 53.8978  ; 27.5573  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  72 ;700013;  3      ;;;;04.02.16; Независимости пр. 10  ; Главпочтамт, отдельная трубостойка   ; 53.8964  ; 27.5512  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700014;123      ;;;;17.12.15; Победителей пр. 31    ; гостиница Планета, трубостойки МТС   ; 53.9121  ; 27.5385  ;
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700015;123      ;;;;17.12.15; Независимости пр. 21  ; ГУМ, триподы МТС                     ; 53.9008  ; 27.5582  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700016;123      ;;;;17.12.15; Красноармейская 3     ; Дом офицеров, отдельные трубостойки  ; 53.9028  ; 27.565   ;G
$;4;R  ;MI.; Минск ;;;    ;;;  72 ;700018;123      ;;;;23.12.16; Бобруйская 5          ; Физфак БГУ, трубостойки МТС          ; 53.8929  ; 27.5447  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  10 ;700019;123567890;;;;17.12.15; Комсомольская 12      ; трипод МТС                           ; 53.9025  ; 27.5518  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700020;123      ;;;;22.01.17; Независимости пр. 40А ; Дом быта, мачта МТС                  ; 53.9090  ; 27.5776  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  90 ;700021;123      ;;;;02.03.18; Киселева 12           ; Горизонт, мачта МТС                  ; 53.9126  ; 27.5698  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  12 ;700022;123      ;;;;11.03.18; Прилукская 46А        ; городской ККВД, мачта МТС            ; 53.8836  ; 27.4977  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  71 ;700023;123567890;;;;12.01.17; Семашко 8             ; больница N9, мачта МТС               ; 53.860085; 27.495280;G
$;4;R  ;MI.; Минск ;;;    ;;;  71 ;700024;123      ;;;;11.04.18; Есенина 66            ; детская поликлиника N8, мачта МТС    ; 53.8573  ; 27.4443  ;G
$;4;R  ;MI.; Минск ;;;    ;;; 206 ;700025;123      ;;;;28.03.17; Центральная 46/16     ; УП ОРПК Заводского района, мачта МТС ; 53.877190; 27.658555;Y
$;4;R  ;MI.; Минск ;;;    ;;;  13 ;700028;123      ;;;;17.12.15; Независимости пр. 49  ; СОЦ "Олимп", трубостойки МТС         ; 53.9171  ; 27.5847  ;G
$;4;R  ;MI.; Минск ;;;    ;;;  11 ;700031;123      ;;;;17.12.15; Ковалевской пер. 61;общ.N3 БелТрансТехМонтаж, трубостойки МТС; 53.
